ID,Name,Code,OEM Brand,OEM Group,POM,To (Country),To (Region),Sales Rep,Product,25Y Sales (￦0.1b),Source Lat,Source Lng,Target Lat,Target Lng,Address
1,Changwon Plant,,,,,,,,,,35.203168,128.669741,35.203168,128.669741,"551, Gongdan-ro, Seongsan-gu, Changwon-si, Gyeongsangnam-do, Republic of Korea"
2,Masan Plant,,,,,,,,,,35.215888,128.592968,35.215888,128.592968,"211, Jayumuyeok 3-gil, Masanhoewon-gu, Changwon-si, Gyeongsangnam-do, Republic of Korea"
3,Daehap Plant,,,,,,,,,,35.592007,128.44714,35.592007,128.44714,"68-26, Daehapsaneopdanji-ro, Daehap-myeon, Changnyeong-gun, Gyeongsangnam-do, Republic of Korea"
4,Yeongsan Plant,,,,,,,,,,35.447662,128.52357,35.447662,128.52357,"307-106, Seorisangchon-gil, Yeongsan-myeon, Changnyeong-gun, Gyeongsangnam-do, Republic of Korea"
5,Zhangjiagang Plant,,,,,,,,,,31.81876607,120.5404758,31.81876607,120.5404758,"No.55 Jintang West Road, Economic Development Zone (South), Zhangjiagang, Jiangsu, 215600, China"
6,Zhangjiagang Plant #2,,,,,,,,,,31.83491523,120.5642067,31.83491523,120.5642067,"No.111 Qigan Road, Economic Development Zone (South), Zhangjiagang, Jiangsu, 215600, China"
7,Monterrey Plant,,,,,,,,,,25.89783181,-100.2355135,25.89783181,-100.2355135,"Av. Del Parque 2115, Monterrey Technology Park, 65580 Parque Industrial Parque Tecnológico Monterrey, N.L., Mexico"
8,MODATEK SYSTEM-DIRECT,287504,,,Changwon Plant,CA,NA,이상영,,0.15384,35.203168,128.669741,43.524016,280.080132,"400 CHISHOLM DRIVE, MILTON,ON"
9,IROQUOIS(DIRECT),200035,,,Masan Plant,US,NA,이상영,,31.1876136,35.215888,128.592968,42.48298,277.021277,"25101 GROESBECK HWY, WARREN MI"
10,GESTAMP BRAZIL(DIRECT),200020,,,Masan Plant,BR,SA,이상영,,0.467458,35.215888,128.592968,-23.034664,314.373361,"Av. Eurico Ambrogi Santos, - 1.8, Taubate, Sao Paulo"
11,GM BRAZIL CCA,200057,,,Masan Plant,BR,SA,이상영,,0.546042,35.215888,128.592968,-23.433664,312.562411,"Av. Gen. Motors, 100, Sorocaba - SP, 18087-165, Brazil"
12,F&P AMERICA,200013,,,Changwon Plant,US,NA,이상영,,0.068094,35.203168,128.669741,40.066942,275.751983,"2101 CORPORATE DR, TROY, OH"
13,IROQUOIS(DIRECT),200035,,,Changwon Plant,US,NA,이상영,,30.3297458,35.203168,128.669741,42.48298,277.021277,"25101 GROESBECK HWY, WARREN MI"
14,Dynamic A Division of F&P Mfg.,287417,,,Changwon Plant,CA,NA,이상영,,0.7566,35.203168,128.669741,43.353221,278.989496,"STRATFORD. ONTARIO N5A 7Y1, 275 WRIGHT BLVD.,"
15,Dynamic A Division of F&P Mfg.,287417,,,Masan Plant,CA,NA,이상영,,0.8988408,35.215888,128.592968,43.353221,278.989496,"STRATFORD. ONTARIO N5A 7Y1, 275 WRIGHT BLVD.,"
16,POS-AUSTEM (CHINA),200036,,,Changwon Plant,CN,AS,이상영,,0.411,35.203168,128.669741,31.386546,120.974759,"NO.1368 , FengXing Road, HuaQiao, KunShan City, JiangSu"
17,GM BRAZIL CCA,200057,,,Changwon Plant,BR,SA,이상영,,0.6063,35.203168,128.669741,-23.433664,312.562411,"Av. Gen. Motors, 100, Sorocaba - SP, 18087-165, Brazil"
18,GM BRAZIL 4M,200094,,,Changwon Plant,BR,SA,이상영,,1.1754,35.203168,128.669741,-23.438915,313.743493,"Av. General Motors, 1999 - Taboão, Mogi das Cruzes - SP, 08772-710, Brazil"
19,UZ-AUTO AUSTEM,200644,,,Changwon Plant,UZ,NA,이상영,,14.6568,35.203168,128.669741,40.787308,72.34371,"170127. Uzbekistan, Andijan str. Boburshokh, 73, Uzbekistan, Andijan"
20,GM SPO Davison,203939,,,Changwon Plant,US,NA,이상영,,0.066202,35.203168,128.669741,43.029,276.367138,"Road Burton, MI 48509, 4134 Davison"
21,GM SPO Davison,203939,,,Masan Plant,US,NA,이상영,,5.47131074,35.215888,128.592968,43.029,276.367138,"Road Burton, MI 48509, 4134 Davison"
22,Aludyne-SPO,287430,,,Masan Plant,US,NA,이상영,,0,35.215888,128.592968,42.607156,276.070409,"GRAND RIVER HOWELL MI 48843 USA, Aludyne North America, Inc- HWL 228"
23,MODATEK through warehouse,200038,,,Masan Plant,CA,NA,우성령/조소영,,1.220858,35.215888,128.592968,43.524016,280.080132,"400 CHISHOLM DRIVE, MILTON,ON"
24,ALUDYNE GEORGIA MACHINING LLC,200061,,,Changwon Plant,US,NA,안근수,,0.12085638,35.203168,128.669741,32.528282,275.027791,"1300-1598 Belfast Ave, Columbus, GA"
25,Hollingsworth Logistics Management,200626,,,Changwon Plant,US,NA,안근수,,1.35201487,35.203168,128.669741,42.341608,276.817867,"Dearborn MI 48126, 142-25 Warren Ave"
26,Dynamic Suspensions of Multimatic I,200031,,,Masan Plant,CA,NA,최향민,,0.88972,35.215888,128.592968,44.073856,280.519249,"125 CORCORANCRT, EAST GWILLIMBURY,ON"
27,Weihai Sakthi-Bethel Automotive Saf,200064,,,Masan Plant,CN,AS,이상영,,0.58779,35.215888,128.592968,36.919913,121.53316,"Kaituo Road, Rushan City, Weihai City, Shandong, China, 264515"
28,AILN BUSAN(CTR),300034,,,Masan Plant,KR,KR,이근수,,15.80281854,35.215888,128.592968,35.210983,128.98125,"르노삼성대로61, 부산광역시 강서구"
29,GM BRAZIL 4M,200094,,,Masan Plant,BR,SA,이상영,,13.15508,35.215888,128.592968,-23.438915,313.743493,"Av. General Motors, 1999 - Taboão, Mogi das Cruzes - SP, 08772-710, Brazil"
30,BENTELER AUTOMOBIL TECH GMBH-DIR,200081,,,Changwon Plant,ES,EU,안근수,,18.0104,35.203168,128.669741,51.749964,8.755632,"An der Talle 27-31, Paderborn"
31,HIRUTA AND SUMMIT OFFICE,200090,,,Changwon Plant,TH,AS,이근수,,28.38234859,35.203168,128.669741,13.167472,100.92879,"Nong Kham, Si Racha District, Chon Buri 20110, Thailand"
32,BENTELER SOUTH AFRICA,200103,,,Changwon Plant,ZA,AF,이근수,,15.33936268,35.203168,128.669741,-26.28963,28.119853,"13 Ventonie St. Alrode, Alberton Gauteng"
33,AILN BUSAN(CTR),300034,,,Changwon Plant,KR,KR,이근수,,119.5283496,35.203168,128.669741,35.210983,128.98125,"르노삼성대로61, 부산광역시 강서구"
34,ZFLSCHINA,200499,,,Changwon Plant,CN,AS,이근수,,0.09059931,35.203168,128.669741,30.919647,121.469182,"No.1088 North Huancheng Road, Fengxian District, Shanghai"
35,FMCSA A/S (FORD SOUTH AFRICA),287421,,,Changwon Plant,ZA,AF,이근수,,0.46224028,35.203168,128.669741,-25.720938,28.331992,"CSO Receiving, Waltloo-0184, Simon Vermooten Road, Gate 3"
36,Dynamic Suspensions of Multimatic I,200031,,,Changwon Plant,CA,NA,안근수,,90.6966308,35.203168,128.669741,44.073856,280.519249,"125 CORCORANCRT, EAST GWILLIMBURY,ON"
37,GESTAMP ZARAGOZA,200527,,,Changwon Plant,ES,EU,최유정,,23.8998061,35.203168,128.669741,41.73474,-1.188072,"Poligono Industrial El Pradillo,, Pedrola, Zaragoza"
38,MAGNETI MARELLI BRAZIL,200539,,,Changwon Plant,BR,SA,최유정,,2.07129404,35.203168,128.669741,-22.732676,313.114748,"SP-095 & Rodovia João Beira, Pedreira - SP"
39,TRAKYA DOKUM,200084,,,Changwon Plant,TR,ME,안근수,,51.445,35.203168,128.669741,41.40852,27.35292,"E-5 Karayolu Üzeri, Büyükkarıştı, Lüleburgaz/Kırklareli"
40,F&P AMERICA,200013,,,Masan Plant,US,NA,이상영,,3.81576,35.215888,128.592968,40.066942,275.751983,"2101 CORPORATE DR, TROY, OH"
41,F&P MEXICO,200096,,,Changwon Plant,MX,SA,이상영,,0,35.203168,128.669741,21.01671,258.74595,"36835 Guanajuato Centro Industrial Guanajuato Calle Santiago, Mexico, 242"
42,LUFAPAK,200585,,,Changwon Plant,DE,EU,안근수,,0.255976,35.203168,128.669741,50.424869,7.541863,"Carl-Borgward-StraBe 20, Neuwied"
43,Ford Otosan,200676,,,Changwon Plant,TR,ME,이근수,,0.3487925,35.203168,128.669741,40.974499,29.232917,"AKPINAR MAH. HASAN BASRI CAD., SANCAKTEPE  KADIKÖY  ISTANBUL"
44,ZF NORTH AMERICA INC.,200516,,,Changwon Plant,US,NA,안근수,,25.61435244,35.203168,128.669741,42.399428,276.497659,"15811 Centennial Dr, Northville, MI"
45,Gestamp Baires(Argentina),203886,,,Changwon Plant,AR,SA,이근수,,7.19169444,35.203168,128.669741,-34.348212,301.204335,"B1625 Belén de Escobar, Buenos Aires Province, Argentina"
46,MARTINREA,200089,,,Changwon Plant,US,NA,안근수,,11.34498,35.203168,128.669741,35.600525,272.88134,"2003 Oakland Parkway, Columbia, Tennessee"
47,ZF Automotive Technologies,288122,,,Changwon Plant,CN,AS,이근수,,5.3864848,35.203168,128.669741,31.81177699,120.5365672,"No. 396 Xitang Road, Economic Development Area, Zhangjiagang City, Jiangsu Province, China"
48,GESTAMP_CHELSEA_MI_USA,200537,,,Changwon Plant,US,NA,안근수,,0.0389,35.203168,128.669741,42.32314,275.972111,"5800 Sibley Rd, Chelsea, MI"
49,GeNI de Mexico S.A.,287534,,,Changwon Plant,MX,SA,최향민,,57.352652,35.203168,128.669741,19.159706,261.593765,"Cuarto Barrio, 74160 Huejotzingo, Pue., Mexico, Carretera al Aeropuerto Km 2.700,"
50,Linamar Albion,200619,,,Changwon Plant,US,NA,안근수,,24.57435,35.203168,128.669741,41.392712,274.598291,"1514 Progress Dr, Albion, IN 46701, United States of America"
51,DICASTAL(KSM) CHINA_T,288327,,,Changwon Plant,CN,AS,우성령/조소영,,26.38726,35.203168,128.669741,30.52688349,104.1797819,"No. 1168 Tian Gong Avenue, Shuangliu District, Chengdu, Sichuan Province, China"
52,F&P Georgia(FTECH),288184,,,Changwon Plant,US,NA,우성령/조소영,,12.81084,35.203168,128.669741,34.174954,274.805022,"Rome, GA, 10 Governors Drive"
53,TUOPU ELECTRIC VEHICLE,288265,,,Changwon Plant,CN,AS,우성령/조소영,,17.101587,35.203168,128.669741,30.35577901,121.3108472,"The northeast side of the intersection of Yuhai East Road and Zhongyuan Road in Cixi City, Ningbo"
54,Ford Michigan,200080,,,Changwon Plant,US,NA,안근수,,9.48708,35.203168,128.669741,42.320414,276.781106,"330 Town Center Drive Suite 1100, Dearborn, MI"
55,Magna Williamsburg-SPO,287416,,,Changwon Plant,US,NA,최유정,,0.1139832,35.203168,128.669741,41.663577,268.001662,"WILLIAMSBURG, IA, USA, 408 N MAPLEWOOD AVE"
56,SMW Automotive Parts (Wuhan) Co.Ltd.,288353,,,Changwon Plant,CN,AS,안근수,,0.05742,35.203168,128.669741,30.580944,114.288989,"No.58 Xing Hua Road Xinke Industrial Park, Wuhan, China"
57,MODATEK through warehouse,200038,,,Changwon Plant,CA,NA,이상영,,0,35.203168,128.669741,43.524016,280.080132,"400 CHISHOLM DRIVE, MILTON,ON"
58,SHANGHAI HUIZHONG AUTOMOTIVE MAN,200074,,,Changwon Plant,CN,AS,최향민,,5.90876,35.203168,128.669741,31.221196,121.537846,"NO1493 SOUTH PUDONG ROAD, SHANGHAI"
59,COSMA Automotive(Shanghai) Co.Ltd.,200152,,,Changwon Plant,CN,AS,이상영,,4.8776,35.203168,128.669741,31.33150496,121.1914178,"No. 1501 Bai'an Road, Jiading District, Shanghai"
60,NINGBO XUSHENG GROUP  CO.LTD,202032,,,Changwon Plant,CN,AS,우성령/조소영,,22.12736,35.203168,128.669741,29.861335,121.621407,"Ningbo, Zhejiang Province, China, No.128 Yinluohe Road, Beilun,"
61,Aludyne US LLC,200004,,,Changwon Plant,US,NA,안근수,,0,35.203168,128.669741,41.745119,274.264749,"51650 County Road 133, Bristol, IN"
62,Aludyne Automotive Mexico City Sade,287419,,,Changwon Plant,US,NA,우성령/조소영,,0,35.203168,128.669741,19.357746,260.90554,"MEX 09360, Ermita Iztapalapa No. 1478"
63,TENNECO,200584,,,Masan Plant,US,NA,우성령/조소영,,0,35.215888,128.592968,41.411364,275.905792,"Tenneco, Inc. 11800 County Road 424, Napoleon, OH  43545  USA"
64,Weihai Sakthi-Bethel Automotive Saf,200064,,,Changwon Plant,CN,AS,이상영,,2.8304,35.203168,128.669741,36.919913,121.53316,"Kaituo Road, Rushan City, Weihai City, Shandong, China, 264515"
65,SHANGHAI HUIZHONG AUTOMOTIVE MAN,200074,,,Masan Plant,CN,AS,최향민,,0.46,35.215888,128.592968,31.221196,121.537846,"NO1493 SOUTH PUDONG ROAD, SHANGHAI"
66,TOOLING & EQUIPMENT INTERNATIONAL,288371,,,Masan Plant,US,NA,최향민,,0,35.215888,128.592968,42.37576,276.6572,"12550 tech center drive livonia michigan 48150-2192, Livonia"
67,Sigma ASL,287491,,,Changwon Plant,GB,EU,조소영/장병옥,,1.61154,35.203168,128.669741,51.56928,0.64314,"Leigh on Sea Essex, Progress House 41 Progress Road Eas"
68,Aludyne China(DMI Suzhou),200006,,,Changwon Plant,CN,AS,안근수,,0,35.203168,128.669741,31.450982,120.939649,"No. 299 Yuyang Road, Building B, Pingqian Industrial Park, Yushan Town, Kunshan City, Suzhou Province"
69,KSM Castings USA Inc.,287403,,,Changwon Plant,US,NA,안근수,,7.1346,35.203168,128.669741,35.32147,278.373266,"Shelby NC 28150, 120 Blue Brook Drive"
70,CITIC DICASTAL(KSM),200082,,,Changwon Plant,CN,AS,우성령/조소영,,8.7834915,35.203168,128.669741,39.940951,119.589243,"ECONOMIC & TECHNOLOGIC DEVELOPME, QINHUANGDAO,HEBEI"
71,TENNECO,200584,,,Changwon Plant,US,NA,우성령/조소영,,3.377796,35.203168,128.669741,41.411364,275.905792,"Tenneco, Inc. 11800 County Road 424, Napoleon, OH  43545  USA"
72,DICASTAL (DIKA) MOROCCO CASTINGS,288338,,,Changwon Plant,MA,EU,우성령/조소영,,2.9555715,35.203168,128.669741,34.30055668,-6.404864341,"Kenitra 14000, Morocco"
73,BENTELER SPARTANBURG,287374,,,Masan Plant,US,NA,강태영,,2.48616,35.215888,128.592968,34.907842,277.839665,"1117 VICTOR HILL ROAD GREER, SOUTH CAROLINA 29651, USA"
74,RHENUS AUTOMOTIVE HOLDINGS. CO.LTD,287459,,,Masan Plant,CN,AS,강태영,,31.6752,35.215888,128.592968,41.79761,123.450306,"No. 19, Dongteng First Street, Dadong District, Shenyang City, Liaoning Province"
75,SGM (SPO),200058,,,Masan Plant,CN,AS,이상영,,0.496173,35.215888,128.592968,31.2246,121.64131,"No. 2119 Zhangyang Road, Pudong New Area, Shanghai"
76,GM HOLDEN SPO(DIRECT),200059,,,Masan Plant,AU,OC,이상영,,0.6800762,35.215888,128.592968,-34.321802,150.911683,"99 Princes Highway Dandenong3175, Victoria, AU"
77,OPEL SPO(EUR_DIRECT),200053,,,Masan Plant,DE,EU,최유정,,0.00756906,35.215888,128.592968,50.059557,8.520505,"BKS Scan Center, IPC 01-01, Russelsheim"
78,#N/A,200037,,,Masan Plant,US,NA,이상영,,26.786151,35.215888,128.592968,42.734618,275.446121,"C/O Ryder Integrated Logistics ?, Lansing, MI"
79,GM SPO Lansing,203940,,,Masan Plant,US,NA,이상영,,0.1146971,35.215888,128.592968,42.716088,275.390266,"Lansing, MI 48917, 4400 W.Mount Hope Rd."
80,MOBIS NORTH AMERICA,200079,,,Masan Plant,US,NA,최유정,,0.0291634,35.215888,128.592968,42.304695,276.893655,"6401 W Fort St, Detroit, MI"
81,TXX gigafactory texas,287386,,,Changwon Plant,US,NA,우성령/조소영,,109.58737,35.203168,128.669741,29.963992,262.213091,"Dr (Kyle 2 - MY) 201 Logistics Dr  Kyle, TX 78640 USA, NA-US-TX-Kyle-201 Logistics"
82,TXX gigafactory texas,287386,,,Masan Plant,US,NA,우성령/조소영,,144.67752,35.215888,128.592968,29.963992,262.213091,"Dr (Kyle 2 - MY) 201 Logistics Dr  Kyle, TX 78640 USA, NA-US-TX-Kyle-201 Logistics"
83,TXX lathrop,287548,,,Masan Plant,US,NA,우성령/조소영,,90.8796,35.215888,128.592968,37.822738,238.723142,"Lathrop, CA 95330 USA, NA-US-CA-Lathrop-701 D'Arcy Pkwy"
84,BMW,200609,,,Masan Plant,DE,EU,강태영,,51.909,35.215888,128.592968,48.176842,11.560135,Petuelring 130 BMW Haus
85,TXX livermore atlantis,203954,,,Masan Plant,US,NA,우성령/조소영,,232.36908,35.215888,128.592968,37.681582,238.188567,"Atlantis Court Livermore, CA 94551 USA, Atlantis Court 800"
86,AILN BUSAN(CTR),300034,,,Daehap Plant,KR,KR,이근수,,184.224633,35.592007,128.44714,35.210983,128.98125,"르노삼성대로61, 부산광역시 강서구"
87,LUCID MOTORS,200693,,,Masan Plant,US,NA,조소영/장병옥,,92.40938178,35.215888,128.592968,32.864757,248.213171,"Lucid USA, Inc.(CasaGrande Whse) 1185 W Peters Rd, CASA GRANDE AZ 85122 USA"
88,TXX livermore,203953,,,Masan Plant,US,NA,우성령/조소영,,64.97676,35.215888,128.592968,44.383415,289.750905,"Discovery Dr. Livermore, CA 94551 USA, Tesla Livermore Discovery 201"
89,Ford Michigan,200080,,,Masan Plant,US,NA,안근수,,45.29324292,35.215888,128.592968,42.320414,276.781106,"330 Town Center Drive Suite 1100, Dearborn, MI"
90,DANA CORPORATION,200538,,,Masan Plant,US,NA,안근수,,14.341248,35.215888,128.592968,30.573252,262.143315,"5900 183 A Toll Road, Leander, TX"
91,CHEVROLET SALES(TH) SPO,200056,,,Yeongsan Plant,TH,AS,이상영,,0.0952035,35.447662,128.52357,13.853241,100.574919,"Phaholyothin Rd, Chatuchak, Chatuchak, Bangkok"
92,SGM (SPO),200058,,,Yeongsan Plant,CN,AS,이상영,,0.5787291,35.447662,128.52357,31.2246,121.64131,"No. 2119 Zhangyang Road, Pudong New Area, Shanghai"
93,GM SPO Davison,203939,,,Yeongsan Plant,US,NA,이상영,,2.7194159,35.447662,128.52357,43.029,276.367138,"Road Burton, MI 48509, 4134 Davison"
94,GM BRAZIL CKD,200042,,,Yeongsan Plant,BR,SA,이상영,,4.5067,35.447662,128.52357,-23.165863,314.186101,"Jardim das Flores, São José dos Campos - State of São Paulo, Brazil"
95,PT GENERAL MOTORS INDONESIA(SERV,200052,,,Yeongsan Plant,ID,AS,이상영,,0.21404,35.447662,128.52357,-6.237358,106.8204,"Jl.Sultan Iskandar Muda Kav.V, TA Pondok Indah, Jakarta Selatan"
